,0
SCN2A,-8.584357
CHD8,34.27729
ADNP,-4.826886
SHANK3,-5.648041
PTEN,3.609437
SYNGAP1,-6.80964
MECP2,-5.138695
KDM5B,-8.047743
FOXP1,-2.8071651
ARID1B,-6.7364936
POGZ,-5.4414744
ASH1L,16.090588
KMT5B,-4.549732
SLC6A1,-5.127836
GIGYF1,-5.6220913
DYRK1A,-5.084975
CHD2,5.6788516
ASXL3,10.406405
TAOK1,12.439104
DNMT3A,-5.703941
GRIN2B,-6.7227325
BRSK2,-4.961763
KMT2A,-5.129122
NF1,-11.383655
STXBP1,-4.3580165
CUL3,-5.4487233
MED13L,14.626552
ANK2,-9.560239
MYT1L,-3.8500793
RORB,-5.344197
TBL1XR1,-3.1029565
TBR1,-6.362473
DYNC1H1,-7.971481
WAC,-4.0562587
PHF21A,-4.496208
KDM6B,-6.7780323
DDX3X,-4.539788
CTNNB1,-5.037491
MED13,-8.486972
ANKRD11,-4.3983526
CTCF,-4.066206
RFX3,-5.075878
ARHGEF9,-4.9329734
SHANK2,-3.0737276
DEAF1,-4.6690397
SMARCC2,4.8939915
TLK2,-5.940194
TCF20,-5.7612834
CNOT3,-5.0513387
SYNCRIP,2.059012
SETD5,-7.9904604
NAA15,-3.6143825
SCN1A,-7.471344
EHMT1,-5.968047
TCF4,-4.824641
SRPRA,-4.8528876
MARK2,-3.6119692
KMT2C,30.663534
MBD5,-5.3667984
NRXN1,-7.5334544
IRF2BPL,-3.8237228
PHIP,-7.171459
NFE2L3,-4.460007
SKI,-6.7827463
PSMD12,-4.735927
KCNB1,-4.5192547
CSDE1,0.7241874
TSC1,-6.5540876
DMWD,-4.4878707
CLCN4,-5.020645
MEIS2,-3.4829907
PBX1,-1.7030075
HNRNPD,-2.8440695
BCL11A,-3.789581
TCF7L2,-2.444768
WDFY3,-12.27735
PHF3,-6.319775
SETBP1,-4.8081326
TGM1,-5.290434
EBF3,-3.9601393
PPP2R5D,-1.7790918
TAF4,-4.811991
KCNQ2,-6.914192
CAPRIN1,-4.512092
DSCAM,-8.325995
GABBR2,-4.4110603
PRKG2,-5.2532334
UBN2,-4.4300275
MEF2C,-4.803836
TRIP12,20.636768
EP300,28.328114
NR3C2,-6.591586
ARHGEF18,-5.676779
TNPO3,-6.4614
SMAD6,-6.0688095
AMOT,-4.0991154
AUTS2,-4.557706
NCKAP1,-5.2492933
DLG4,4.10489
ECPAS,-5.46115
PRKAR1B,-5.242693
FUBP3,-4.611082
GRIA2,2.584844
CCDC40,-5.7185273
GABRA1,-3.2785654
TSC2,-9.090925
C1orf185,-3.6691651
METTL23,-3.813406
HNRNPUL2,-4.0071697
PAX5,-4.202315
ATF4,-3.1877856
RERE,-5.3864775
DHFR2,-3.9624748
TMC4,-5.0792
FXYD5,-3.9305708
EBAG9,-3.8035262
ITGB5,-6.6738296
INTS2,-5.7102804
RAI1,-3.971618
FOXG1,-5.237318
PLEKHG6,-5.9591146
MAVS,-3.765049
C1QC,-4.209557
TMEM116,-2.0297413
SIN3A,-6.5315857
ANP32A,-3.7017012
PRR14L,-5.5893865
CSNK2B,-4.2655315
PMM2,-4.8020763
PFN2,-3.9271812
LMTK3,-6.739442
SPRY2,-3.9773145
CMPK2,-0.8097272
IQSEC2,-6.205361
RIPK1,-4.7490435
TPK1,-4.202217
CASZ1,-3.435159
ZBTB45,-4.446461
NUDT17,-4.218021
FANCE,-4.1752315
ZNF396,-4.3154507
NR4A2,1.115437
TBCEL,-4.4177322
ADAM21,-4.309636
TCF3,-5.492195
AAAS,-5.5793047
CELF6,-4.2349186
INSC,-4.371786
ZMYND8,-6.039998
CLTC,-4.3389163
TCHHL1,-4.326015
CTDSPL2,-4.295405
ZNF292,5.7084856
KCNQ3,-6.9093866
RALGAPB,-6.7475586
SRCAP,-10.505934
RAB11FIP4,-4.1179667
ZNF865,-4.3370724
CASKIN1,-6.135317
RANBP17,-6.035768
FBN1,-14.8009405
ACTB,-4.8493347
CNNM2,-6.374616
TSHZ1,-4.467001
UPF3B,-2.0122433
PHF2,-5.6329646
FMR1,-4.340269
MIB1,1.2525325
FADS1,-4.351817
FRMD7,-4.7143936
LDB1,-4.6197886
PCDH19,-5.77877
EIF3G,-4.0316334
MYO1E,-7.9889555
ZFAND5,-1.1265469
CFAP410,-4.05314
BICRA,-4.450831
MYBL2,-3.3705153
KIAA1958,3.1124625
GABRG2,-1.6559644
SKIDA1,-4.614898
PSMA3,-3.8322525
TTC37,-6.356346
PCYT1A,-4.948246
AP1G1,-5.6926274
FEZF2,-2.6922827
FGF19,-2.7043695
MSL3,-3.833069
SON,10.7549095
DNAJC5,-3.7531178
FBXO22,-3.8784094
TNFRSF8,-4.7800426
HDAC11,-5.026834
SSR2,-3.879802
ACTG1,-2.8617234
PNN,-0.799201
RUNX1T1,-1.2870879
APBB1,-3.2818785
CERS4,-4.933524
CELF4,-3.4086103
ZBTB14,-4.1031632
ATAT1,-5.012323
RBBP5,-4.9661317
G3BP1,-2.5649061
WNT7B,-5.4729147
BDP1,-6.0147004
RNF217,-4.9712358
CBX4,-3.311609
NME8,-4.8297005
DCUN1D3,-4.275535
ENC1,1.0494213
UBB,-3.4188194
NEO1,-6.5827165
SLC4A10,1.2513885
BRF2,-4.9191937
PSMD11,-4.5942307
NR2F1,-4.925709
CASK,-3.4551506
SARM1,-5.583231
TPST2,-3.0171988
FPGS,-5.12162
QRICH1,-4.8504634
LRP10,-5.674462
CD101,-5.012918
INTS7,-5.0023513
SMAD4,-5.064772
STARD10,-4.370795
CNTNAP3,-5.0714273
DHX37,-3.502807
GABRB3,-3.4992833
NDNF,-2.118984
FARP2,-6.587821
SLF1,-5.064468
HDAC4,-4.6668515
